model_id,model_type,estimand,outcome,treatment,instrument,estimate,std_error,confidence_low,confidence_high,p_value,first_stage_f,n_obs,n_countries,sample_name,fixed_effects,cluster_level,corpus_version,stance_version,run_id,git_commit,r_squared
fs_none_all_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.14499291165673084,0.5395475995314941,-0.9125203834249977,1.2025062067384593,0.7881442407838918,0.07221609703129159,7719,179,all_available,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,2.5385239658559655e-05
fs_none_verified_complete,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.14499291165673084,0.5395475995314941,-0.9125203834249977,1.2025062067384593,0.7881442407838918,0.07221609703129159,7719,179,verified_complete,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,2.5385239658559655e-05
fs_none_original_untruncated,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.5057327082143559,0.5989446703077899,-0.6681988455889123,1.679664262017624,0.3985104628860848,0.7129657634463569,4086,179,original_untruncated,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.0003363642586179383
fs_none_validation_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.13657142496502436,0.5390662610057789,-0.9199984466063024,1.193141296536351,0.8000060186345247,0.0641852710202313,7654,179,validation_available,,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,2.2596709383648772e-05
fs_year_all_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.2693892358528258,0.5292670836228527,-0.7679742480479654,1.306752719753617,0.610777081442992,0.2590661712416185,7719,179,all_available,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.03761955744050738
fs_year_verified_complete,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.2693892358528258,0.5292670836228527,-0.7679742480479654,1.306752719753617,0.610777081442992,0.2590661712416185,7719,179,verified_complete,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.03761955744050738
fs_year_original_untruncated,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.3103365975081971,0.5752359537375787,-0.8171258718174572,1.4377990668338514,0.5895755091942836,0.29105424850003647,4086,179,original_untruncated,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.050254260553201924
fs_year_validation_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.2600623676831697,0.5284649253121037,-0.7757288859285534,1.2958536212948928,0.6226564712945345,0.24217130839353654,7654,179,validation_available,year,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.0373656387165201
fs_region_all_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.27939087390731177,0.4780043528662695,-0.6574976577105764,1.2162794055252,0.5589048246341941,0.3416337194819049,7719,179,all_available,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.11120657912700804
fs_region_verified_complete,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.27939087390731177,0.4780043528662695,-0.6574976577105764,1.2162794055252,0.5589048246341941,0.3416337194819049,7719,179,verified_complete,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.11120657912700804
fs_region_original_untruncated,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.5274746165928086,0.5275575844509912,-0.5065382489311341,1.5614874821167513,0.31744595950587823,0.9996854889910085,4086,179,original_untruncated,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.09267203318786466
fs_region_validation_available,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.262916976061884,0.47743415975482106,-0.6728539770575652,1.1986879291813333,0.581864074361043,0.30325661241568236,7654,179,validation_available,region,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.11285438548075777
